,comment,username
0,"This movie is not realistic enough. It should depict a broken, suicidal man with no wife, no kids and no friends.",Cristian M
1,I love this movie so much but I like to think of it as a comedy sometimes and itâ€™s hilarious.  â€œIâ€™ll hang her upâ€ is such a great line,Ed Scmidt
2,"<a href=""https://www.youtube.com/watch?v=SEgUpU_AFKA&amp;t=5m35s"">5:35</a> that&#39;s the one on Home alone 2 where Mccallister&#39;s family watch on Miami",Thanh QuÃ½ VCan vÃ  Gia ÄÃ¬nh á»Ÿ CANADA
3,â€œShall I pray for him?â€ That was so sweet of her to say,TW A
4,Yeah this is so preferable to a peaceful life alone working in a library.<br>ILL TAKE THE LIBRARY.,tsumami
5,"George Bailey It&#39;s me when i accused the world saying: &quot;Why we shall work all days and watching those sucks movie or TV Series?! What&#39;s the point?!&quot; Since we will never see Ahsoka Tano senses Anakin Skywalker fall into the Dark side of the force or we will never see her and Ezra Bridger sense Anakin killed Palpatine when Disney show us those characters that we never seen them in Star Wars movies, I&#39;m only a person that i made the opinion about It when Disney that It brough star wars or even some idiot asked me if i would find a book to read It for Kids but they are in lending or my mom told me to read that sucks book the girl with a earring Pearl and then i would like to no born ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢ğŸ˜¢",Beatrice Sanfilippo
6,Chuckie finster as George bailey.,daniel ferstendig
7,Who names their kid &quot;Zuzu&quot;?,Tucker Hawkey
8,"As a man, if you ever wanna feel beyond guilty. Explode on your family after a bad day like this.",Matt Walsh
9,"@<a href=""https://www.youtube.com/watch?v=SEgUpU_AFKA&amp;t=7m13s"">7:13</a> woah! Look how everyone looks at this man. You can feel the sadness in the faces and the scene! The energy they are giving off! That was a real sad scene",KidTakeFlight
10,"@<a href=""https://www.youtube.com/watch?v=SEgUpU_AFKA&amp;t=5m46s"">5:46</a> and I love how the wife is acting like a wife. She helps him and loves George even if he is not loving himself she knows he is in a bad mood. But how she just looks at him like she doesnâ€™t want to see him so upset shows her acting from the heart also. She knows what heâ€™s doing and knows something is obviously wrong and is trying to stop him from being stupid and get him to talk.",KidTakeFlight
11,"@<a href=""https://www.youtube.com/watch?v=SEgUpU_AFKA&amp;t=5m46s"">5:46</a> George taking his anger out literally! On a woman he doesnâ€™t even know! Just thinking of something heâ€™s mad about and just putting it all out there on here making her the problem or the dumpster or negativity",KidTakeFlight
12,"WOAH. That scene in his daughters bed was REAL. You know kids have to like being around you to actually want to be and you can see who either hates or loves the kids. In that scene he shows his cars and softness with her and it seems so real with the zen the kid is in by not thinking of anything much but just being her kid self dreaming and just infatuated with the flower @<a href=""https://www.youtube.com/watch?v=SEgUpU_AFKA&amp;t=5m10s"">5:10</a> she is staring at it! Look at the eyes just admiring the flower youâ€™ll see what I mean. George is so worried about his daughter and the energy in this whole incident is heart warming because it was real! It was from the heart!",KidTakeFlight
13,Wowww! This scene you learn so many lessons. He cares but is bottled up with experiences yet to be talked about and things on his mind yet to share his feelings to. at least thatâ€™s what he thinks because everyone still loves him but he is so down on himself and in such a negative state of mind he doesnâ€™t see the good anymore,KidTakeFlight
14,"<a href=""https://www.youtube.com/watch?v=SEgUpU_AFKA&amp;t=5m36s"">5:36</a> The scene in Home Alone 2 but was in Spanish",OliAliNes3723
15,Here&#39;s a question I don&#39;t know if anyone asked. Why were Zuzu and the other kids in School on Christmas Eve? Was that common back then?,MNsportsnut
16,"&quot;Oh MISTER Welch. Okay that&#39;s fine, Mr. Welch. Give me a chance to tell you what I REALLY think of your wife!&quot; <br>ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚",The Dark Knight
17,I love how tender and sweet he is with Zuzu in spite of his shaky mental state. It shows what a great father he is.,12CLASSICS
18,"Can I just point out how good of a wife, friend, and mother Mary is to her husband and children? As soon as her husband came home she greeted him warmly, chatted brightly to him about her day and the kidâ€™s days and the holidays, and showed concern for him when it was quite obvious he was deeply upset about something. This is how every partner should treat their significant other.",ã‚³ãƒ¼ãƒ‡ã‚£
19,If youâ€™re a father and this scene doesnâ€™t bring tears to your eyes something is wrong with you.,Scott Hunter
20,the acting is class,Nate Henry
21,"Clarence knew, as we did in 1st scene where 2 twinkling stars , w/rep &quot;Boss angel&quot; telling &quot;insecure, childlike, &amp; thus very-extra-worried /wingless Angel in training &quot; Clarence that:1) He MUST go 2 earth 2 SUCCESSFULLY save this HUGELY LOVED/much needed/selflessly kind hero-<del>poor George--f/ his &quot;deep</del> despair-&amp; FAMILY LOVE -based&quot; awful/tragic/100% WRONG AND pointlessly unnecessary  plan 2 end his life. ESP bc of WHY: To save others...as per always. Bc he was willing 2 die 4 the life ins $ he felt his family would need so badly just 2 survive the poverty he thot would DEF DESTROY HIS FAMILY in near future. And Clarence knew his sweet/insecure/childlike  little wingless heart would have 2b as confident/effective/powerful as they could POSSIBLY become...if he&#39;s the kind of &quot;well-deserving 2b OFFICIAL/WINGED earth angel&quot; he&#39;d HAVE 2b 2 save a man as special/unique( but equally stubborn/hard 2 work with when he&#39;s passionate in his feelings/emotions) young man like poor, poor George Bailey. So poor, FRANTIC/self-doubting Clarence knows HE, HIS ANGEL-SKILLS, &amp; even his precious long-awaited wings , had 2 become MORE CONFIDENT/CAPABLE/POWERFUL than they&#39;d/he&#39;d ever had 2b ...2 save this challenge of a wonderful but very strong-minded &amp; very hopeless man George from making a TERRIBLE MISTAKE: ending his most precious gift--his wonderful life.ğŸ˜‡ğŸ‘¼ğŸ™ğŸ»ğŸ¥°ğŸ‘ğŸ™‹â€â™€ï¸ğŸ‘‹",Angel4animals
22,"<a href=""https://www.youtube.com/watch?v=SEgUpU_AFKA&amp;t=1m53s"">1:53</a> always makes me cry. When George hugs his son and Mary looks at him sensing something is wrong ğŸ˜­ğŸ˜­",Doc Lombardi
23,God this is the perfect movie. I love it so much. Not just for the nostalgia.,Ryan Maclean
24,Why was George being dramatic in front of his family?,Seren Haf Williams-Davies
25,"Sheet music &quot;It&#39;s A Wonderful Life&quot; for piano solo:<br><a href=""https://youtu.be/m-SCPVuRcHg"">https://youtu.be/m-SCPVuRcHg</a>",Philipp Cord
26,"The way Mary said &quot;Hello, darling&quot; to George makes me say the same thing as her ğŸ˜",Seren Haf Williams-Davies
27,This makes me cry :(,Seren Haf Williams-Davies
28,&quot;why do we have all these kids? Answer: Because you couldn&#39;t stop F@cking.,carlos esteves
29,"When I was a kid watching this I thought &quot;man George needs to cool it!&quot;  But as a father now, I realize the stress of fatherhood of providing for the people you love and sacrificing what you love and want to do takes a toll on you.",Nathan Smith
30,&quot;Give me a chance to tell you what I really think of your wife.&quot; Classic.,Sean Moore
31,"I really felt his pain. Losing your money, facing jail time and dealing with 4 nagging kids, I would have a mental breakdown too. But, it&#39;s better to just go outside or go upstairs to your room and throw a fit there. Don&#39;t trip out in front of the kids.",Marcus Anderson
32,George is loosing his cool.,A.Z-Town
33,Itâ€™s really hard to not cry while watching this,Guitar Gangster Armi
34,"<a href=""https://www.youtube.com/watch?v=SEgUpU_AFKA&amp;t=1m05s"">1:05</a>",Tracer Bullet
35,"<a href=""https://www.youtube.com/watch?v=SEgUpU_AFKA&amp;t=1m04s"">1:04</a>",Tracer Bullet
36,As the oldest of five and my mother going through it. There are a few times I recall my dad getting to this point.<br>Now I understand why my Dad loves It&#39;s A Wonderful Life â¤ï¸,Ashlyn Murray
37,Anyone who is not where they&#39;d hoped to be over the age of 30 can relate to George&#39;s anger.  He wanted to see the world and instead he has a family and is wanted by the authorities.,Tim Daugherty
38,George Bailey is a punk. He verbally abused his wife and children He physically assaulted his brother BIlly and threatened his child&#39;s teacher. In addition to being a drunk and unstable he was a terrible businessman. In today&#39;s world of finance he would have been charged with fraud and mismanagement. How is this guy a hero to anyone?,Roy Santoro
39,Every role he took on he made completely relatable,davidpar2
40,I remember my mom and dad crying at 530 in the morning cause they couldnâ€™t afford the house anymore but they woke us up it was 1993. But my grandma helped us out with my grandpa who was a ww2 vet I miss him greatly he lived right next to us he taught me a lot.,Person Of Pinterest
41,The scene where he grabs his son and cries terrors me apart.,Person Of Pinterest
42,"I completely understand how George is feeling in this scene. But just because you&#39;re frustrated, doesn&#39;t mean you have to treat everyone else frustrated too. <br><br>George <b>SHOULD HAVE</b> told Mary and his kids that Uncle Billy wasn&#39;t being very careful with the money and that he was really VERY frustrated at him for losing it, instead of taking his frustration out on <i>them.</i> ğŸ˜¢",Ring Diamond
43,"Itâ€™s horrible to see even a good man like George take his anger out on his family. Also, seeing a phenomenal human being like Jimmy Stewart upset and in tears like that is heartbreaking. Everyoneâ€™s reactions here are gut wrenching.",ALLY S
44,Been there and still there with my crazy mom who doesn&#39;t listen and still keeps making mistakes. Please pray she wakes up from being stupid.,watduh123
45,I bet Mary was about to say â€˜Goâ€™ or â€˜Leaveâ€™,Sakura_Ange
46,"If that happens to you once in a lifetime it&#39;s too many times. I have never watched this movie all the way through, but I will now.",I_lik_dim_sum
47,Knowing that he channeled his PTSD for this makes it so much more impactful.,Maggie_D
